UID,title,authors,abstract,slideslive_id,rocketchat_id
ds1,Doctoral Symposium Talk,Serena Jeblee,,38931967,
ds2,Doctoral Symposium Talk,Serifat Folorunso,,38931968,
ds3,Doctoral Symposium Talk,Iredia Olaye,,38931969,
ds4,Doctoral Symposium Talk,Savannah Bergquist,,38931970,
ds5,Doctoral Symposium Talk,Paidamoyo Chapfuwa,,38931971,
ds6,Doctoral Symposium Talk,Primoz Kocbek,,38931972,
ds7,Doctoral Symposium Talk,Hadi Alagha,,38931973,
ds8,Doctoral Symposium Talk,Jill Furzer,,38931974,
ds9,Doctoral Symposium Talk,Abder-Rahman Ali,,38931975,
ds10,Doctoral Symposium Talk,Hasna Njah,,38931976,
ds11,Doctoral Symposium Talk,Vinyas Harish,,38931977,
ds12,Doctoral Symposium Talk,Haohan Wang,,38931978,
ds13,Doctoral Symposium Talk,Mamadou Lamine MBOUP,,38931979,
ds14,Doctoral Symposium Talk,Tulika Kakati,,38931980,
ds15,Doctoral Symposium Talk,Nirvana Nursimulu,,38931981,
ds16,Doctoral Symposium Talk,Javi Zhang,,38931982,
ds17,Doctoral Symposium Talk,Rohit Bhattacharya,,38931983,
ds18,Doctoral Symposium Talk,Kaspar Märtens,,38931984,
ds19,Doctoral Symposium Talk,Luis Oala,,38931985,
