UID,title,authors,abstract,session
P01,Denoising Autoencoders for Learning from Noisy Patient-Reported Data,"Harry Rubin-Falcone* (University of Michigan)|Joyce Lee (University of Michigan)|Jenna Wiens (University of Michigan)","Healthcare datasets often include patient-reported values, such as mood, symptoms, and meals, which can be subject to varying levels of human error. Improving the accuracy of patient-reported data could help in several downstream tasks, such as remote patient monitoring.  In this study, we propose a novel denoising autoencoder (DAE) approach to denoise patient-reported data, drawing inspiration from recent work in computer vision. Our approach is based on the observation that noisy patient-reported data are often collected alongside higher fidelity data collected from wearable sensors. We leverage these auxiliary data to improve the accuracy of the patient-reported data. Our approach combines key ideas from DAEs with co-teaching to iteratively filter and learn from clean patient-reported samples. Applied to the task of recovering carbohydrate values for blood glucose management in diabetes, our approach reduces noise (MSE) in patient-reported carbohydrates from 72<span class=""font-italic"">g<sup>2</sup></span> (95% CI: 54-93) to 18<span class=""font-italic"">g<sup>2</sup></span> (13-25), outperforming the best baseline (33<span class=""font-italic"">g<sup>2</sup></span> (27-43)). Notably, our approach achieves strong performance with only access to patient-reported target values, making it applicable to many settings where ground truth data may be unavailable.",B
P02,Adaptive Weighted Multi-View Clustering,"Shuo Shuo Liu* (Pennsylvania State University)|Lin Lin (Duke University)","Learning multi-view data is an emerging problem in machine learning research, and nonnegative matrix factorization (NMF) is a popular dimensionality-reduction method for integrating information from multiple views. These views often provide not only consensus but also complementary information. However, most multi-view NMF algorithms assign equal weight to each view or tune the weight via line search empirically, which can be infeasible without any prior knowledge of the views or computationally expensive. In this paper, we propose a weighted multi-view NMF (WM-NMF) algorithm.  In particular, we aim to address the critical technical gap, which is to learn both view-specific weight and observation-specific reconstruction weight to quantify each view’s information content. The introduced weighting scheme can alleviate unnecessary views' adverse effects and enlarge the positive effects of the important views by assigning smaller and larger weights, respectively. Experimental results confirm the effectiveness and advantages of the proposed algorithm in terms of achieving better clustering performance and dealing with the noisy data compared to the existing algorithms.",A
P03,Token Imbalance Adaptation for Radiology Report Generation,Yuexin Wu* (University of Memphis)|I-Chan Huang (St. Jude Children's Research Hospital)|Xiaolei Huang (University of Memphis),"Imbalanced token distributions naturally exist in text documents, leading neural language models to overfit on frequent tokens. The token imbalance may dampen the robustness of radiology report generators, as complex medical terms appear less frequently but reflect more medical information. In this study, we demonstrate how current state-of-the-art models fail to generate infrequent tokens on two standard benchmark datasets (IU X-RAY and MIMIC-CXR) of radiology report generation. To solve the challenge, we propose the <span class=""font-weight-bold"">T</span>oken <span class=""font-weight-bold"">Im</span>balance Adapt<span class=""font-weight-bold"">er</span> (<span class=""font-italic"">TIMER</span>), aiming to improve generation robustness on infrequent tokens. The model automatically leverages token imbalance by an unlikelihood loss and dynamically optimizes generation processes to augment infrequent tokens. We compare our approach with multiple state-of-the-art methods on the two benchmarks. Experiments demonstrate the effectiveness of our approach in enhancing model robustness overall and infrequent tokens. Our ablation analysis shows that our reinforcement learning method has a major effect in adapting token imbalance for radiology report generation.",A
P04,Federated Multilingual Models for Medical Transcript Analysis,"Andre Manoel* (Microsoft)|Mirian Del Carmen Hipolito Garcia (Microsoft)|Tal Baumel (Microsoft)|Shize Su (Microsoft)|Jialei Chen (Microsoft)|Robert Sim (Microsoft)|Dan Miller (Airbnb)|Danny Karmon (Google)|Dimitrios Dimitriadis (Amazon)","Federated Learning (FL) is a machine learning approach that allows the model trainer to access more data samples by training across multiple decentralized data sources while enforcing data access constraints. Such trained models can achieve significantly higher performance beyond what can be done when trained on a single data source. In a FL setting, none of the training data is ever transmitted to any central location; i.e. sensitive data remains local and private. These characteristics make FL perfectly suited for applications in healthcare, where a variety of compliance constraints restrict how data may be handled. Despite these apparent benefits in compliance and privacy, certain scenarios such as heterogeneity of the local data distributions pose significant challenges for FL. Such challenges are even more pronounced in the case of a multilingual setting. This paper presents a FL system for pre-training a large-scale multi-lingual model suitable for fine-tuning on downstream tasks such as medical entity tagging. Our work represents one of the first such production-scale systems, capable of training across multiple highly heterogeneous data providers, and achieving levels of accuracy that could not be otherwise achieved by using central training with public data only. We also show that the global model performance can be further improved by a local training step.","B"
P05,Rare Life Event Detection via Mobile Sensing Using Multi-Task Learning,"Arvind Pillai* (Dartmouth College)|Subigya Nepal (Dartmouth College)|Andrew Campbell (Dartmouth College)","Rare life events significantly impact mental health, and their detection in behavioral studies is a crucial step towards health-based interventions. We envision that mobile sensing data can be used to detect these anomalies. However, the human-centered nature of the problem, combined with the infrequency and uniqueness of these events makes it challenging for unsupervised machine learning methods. In this paper, we first investigate granger-causality between life events and human behavior using sensing data. Next, we propose a multi-task framework with an unsupervised autoencoder to capture irregular behavior, and an auxiliary sequence predictor that identifies transitions in workplace performance to contextualize events. We perform experiments using data from a mobile sensing study comprising N=126 information workers from multiple industries, spanning 10106 days with 198 rare events (<2%). Through personalized inference, we detect the exact day of a rare event with an F1 of 0.34, demonstrating that our method outperforms several baselines. Finally, we discuss the implications of our work from the context of real-world deployment.","B"
P06,Virus2Vec: Viral Sequence Classification Using Machine Learning,"Sarwan Ali* (Georgia State University)|Babatunde Bello (Georgia State University)|Prakash Chourasia (Georgia State University)|Ria Thazhe Punathil (Georgia State University)|Pin-Yu Chen (IBM Research)|Imdad Ullah Khan (Lahore University of Management Sciences)|Murray Patterson (Georgia State University)","Understanding the host-specificity of different families of viruses sheds light on the origin of, e.g., SARS-CoV-2, rabies, and other such zoonotic pathogens in humans. It enables epidemiologists, medical professionals, and policymakers to curb existing epidemics and prevent future ones promptly. In the family Coronaviridae (of which SARS-CoV-2 is a member), it is well-known that the spike protein is the point of contact between the virus and the host cell membrane. On the other hand, the two traditional mammalian orders, Carnivora (carnivores) and Chiroptera (bats) are recognized to be responsible for maintaining and spreading the Rabies Lyssavirus (RABV). We propose Virus2Vec, a feature-vector representation for viral (nucleotide or amino acid) sequences that enable vector-space-based machine learning models to identify viral hosts. Virus2Vec generates numerical feature vectors for unaligned sequences, allowing us to forego the computationally expensive sequence alignment step from the pipeline. Virus2Vec leverages the power of both the <span class=""font-italic"">minimizer</span> and position weight matrix (PWM) to generate compact feature vectors. Using several classifiers, we empirically evaluate Virus2Vec on real-world spike sequences of Coronaviridae and rabies virus sequence data to predict the host (identifying the reservoirs of infection). Our results demonstrate that Virus2Vec outperforms the predictive accuracies of baseline and state-of-the-art methods.","A"
P07,A General Framework for Visualizing Embedding Spaces of Neural Survival Analysis Models Based on Angular Information,"George H. Chen* (Carnegie Mellon University)","We propose a general framework for visualizing any intermediate embedding representation used by any neural survival analysis model. Our framework is based on so-called <span class=""font-italic"">anchor directions</span> in an embedding space. We show how to estimate these anchor directions using clustering or, alternatively, using user-supplied ``concepts'' defined by collections of raw inputs (e.g., feature vectors all from female patients could encode the concept ``female''). For tabular data, we present visualization strategies that reveal how anchor directions relate to raw clinical features and to survival time distributions. We then show how these visualization ideas extend to handling raw inputs that are images. Our framework is built on looking at angles between vectors in an embedding space, where there could be ``information loss'' by ignoring magnitude information. We show how this loss results in a ``clumping'' artifact that appears in our visualizations, and how to reduce this information loss in practice.","B"
P08,Towards the Practical Utility of Federated Learning in the Medical Domain,"Hyeonji Hwang* (KAIST)|Seongjun Yang (KRAFTON)|Daeyoung Kim (KAIST)|Radhika Dua (Google Research)|Jong-Yeup Kim(Konyang University)|Eunho Yang (KAIST) |Edward Choi (KAIST)","Federated learning (FL) is an active area of research. One of the most suitable areas for adopting FL is the medical domain, where patient privacy must be respected. Previous research, however, does not provide a practical guide to applying FL in the medical domain. We propose empirical benchmarks and experimental settings for three representative medical datasets with different modalities: longitudinal electronic health records, skin cancer images, and electrocardiogram signals. The likely users of FL such as medical institutions and IT companies can take these benchmarks as guides for adopting FL and minimize their trial and error. For each dataset, each client data is from a different source to preserve real-world heterogeneity. We evaluate six FL algorithms designed for addressing data heterogeneity among clients, and a hybrid algorithm combining the strengths of two representative FL algorithms. Based on experiment results from three modalities, we discover that simple FL algorithms tend to outperform more sophisticated ones, while the hybrid algorithm consistently shows good, if not the best performance. We also find that a frequent global model update leads to better performance under a fixed training iteration budget. As the number of participating clients increases, higher cost is incurred due to increased IT administrators and GPUs, but the performance consistently increases. We expect future users will refer to these empirical benchmarks to design the FL experiments in the medical domain considering their clinical tasks and obtain stronger performance with lower costs.","A"
P09,Large-Scale Study of Temporal Shift in Health Insurance Claims,"Christina X Ji (MIT CSAIL and IMES)|Ahmed Alaa (UC Berkeley and UCSF)|David Sontag (MIT CSAIL and IMES)","Most machine learning models for predicting clinical outcomes are developed using historical data. Yet, even if these models are deployed in the near future, dataset shift over time may result in less than ideal performance. To capture this phenomenon, we consider a task---that is, an outcome to be predicted at a particular time point---to be non-stationary if a historical model is no longer optimal for predicting that outcome. We build an algorithm to test for temporal shift either at the population level or within a discovered sub-population. Then, we construct a meta-algorithm to perform a retrospective scan for temporal shift on a large collection of tasks. Our algorithms enable us to perform the first comprehensive evaluation of temporal shift in healthcare to our knowledge. We create 1,010 tasks by evaluating 242 healthcare outcomes for temporal shift from 2015 to 2020 on a health insurance claims dataset. 9.7% of the tasks show temporal shifts at the population level, and 93.0% have some sub-population affected by shifts. We dive into case studies to understand the clinical implications. Our analysis highlights the widespread prevalence of temporal shifts in healthcare.","A"
P10,Semantic match: Debugging feature attribution methods in XAI for healthcare,"Giovanni Cinà* (Amsterdam University Medical Center)|Tabea E. Röber (University of Amsterdam)|Rob Goedhart (University of Amsterdam)|Ş. İlker  Birbil (University of Amsterdam)","The recent spike in certified Artificial Intelligence tools for healthcare has renewed the debate around adoption of this technology. One thread of such debate concerns Explainable AI and its promise to render AI devices more transparent and trustworthy. A few voices active in the medical AI space have expressed concerns on the reliability of Explainable AI techniques and especially feature attribution methods, questioning their use and inclusion in guidelines and standards. We characterize the problem as a lack of semantic match between explanations and human understanding. To understand when feature importance can be used reliably, we introduce a distinction between feature importance of low- and high-level features. We argue that for data types where low-level features come endowed with a clear semantics, such as tabular data like Electronic Health Records, semantic match can be obtained, and thus feature attribution methods can still be employed in a meaningful and useful way. For high-level features, we sketch a procedure to test whether semantic match has been achieved.","B"
P11,Modeling Multivariate Biosignals With Graph Neural Networks and Structured State Space Models,"Siyi Tang* (Stanford University)|Jared A. Dunnmon (Stanford University)|Liangqiong Qu (University of Hong Kong)|Khaled K. Saab (Stanford University)|Tina Baykaner (Stanford University)|Christopher Lee-Messer (Stanford University)|Daniel L. Rubin (Stanford University)","Multivariate biosignals are prevalent in many medical domains, such as electroencephalography, polysomnography, and electrocardiography. Modeling spatiotemporal dependencies in multivariate biosignals is challenging due to (1) long-range temporal dependencies and (2) complex spatial correlations between the electrodes. To address these challenges, we propose representing multivariate biosignals as time-dependent graphs and introduce GRAPHS4MER, a general graph neural network (GNN) architecture that improves performance on biosignal classification tasks by modeling spatiotemporal dependencies in biosignals. Specifically, (1) we leverage the Structured State Space architecture, a state-of-the-art deep sequence model, to capture long-range temporal dependencies in biosignals and (2) we propose a graph structure learning layer in GRAPHS4MER to learn dynamically evolving graph structures in the data.  We evaluate our proposed model on three distinct biosignal classification tasks and show that GRAPHS4MER consistently improves over existing models, including (1) seizure detection from electroencephalographic signals, outperforming a previous GNN with self-supervised pre-training by 3.1 points in AUROC; (2) sleep staging from polysomnographic signals, a 4.1 points improvement in macro-F1 score compared to existing sleep staging models; and (3) 12-lead electrocardiogram classification, outperforming previous state-of-the-art models by 2.7 points in macro-F1 score.","B"
